benchmark,analysis,tool,class,TP,FP,FN,TN,Total,sensitivity,specificity,precision,accuracy,f1
GPS benchmark,serotype_exact,ProkBERT,48,2,27,0,3814,2,1,0.9929705805779745,0.06896551724137931,0.9929742388758782,0.12903225806451613
GPS benchmark,serotype_exact,ProkBERT,5,119,20,5,3699,124,0.9596774193548387,0.9946222102715784,0.8561151079136691,0.9934946656258131,0.9049429657794678
GPS benchmark,serotype_exact,ProkBERT,6A,50,10,58,3725,108,0.46296296296296297,0.9973226238286479,0.8333333333333334,0.9823054905022118,0.5952380952380952
GPS benchmark,serotype_exact,ProkBERT,6B,71,9,54,3709,125,0.568,0.9975793437331899,0.8875,0.9836065573770492,0.6926829268292682
GPS benchmark,serotype_exact,ProkBERT,6C,36,7,13,3787,49,0.7346938775510204,0.9981549815498155,0.8372093023255814,0.9947957325006506,0.782608695652174
GPS benchmark,serotype_exact,ProkBERT,6D,4,32,0,3807,4,1,0.9916644959624902,0.1111111111111111,0.9916731720010409,0.19999999999999998
GPS benchmark,serotype_exact,ProkBERT,6E,0,13,2,3828,2,0,0.9966154647227284,0,0.9960967993754879,0
GPS benchmark,serotype_exact,ProkBERT,7B,0,0,2,3841,2,0,1,0,0.9994795732500651,0
GPS benchmark,serotype_exact,ProkBERT,7C,58,24,5,3756,63,0.9206349206349206,0.9936507936507937,0.7073170731707317,0.9924538121259433,0.7999999999999999
GPS benchmark,serotype_exact,ProkBERT,7F,61,13,5,3764,66,0.9242424242424242,0.9965581149060101,0.8243243243243243,0.9953161592505855,0.8714285714285714
GPS benchmark,serotype_exact,ProkBERT,8,436,1,14,3392,450,0.9688888888888889,0.9997052755673446,0.9977116704805492,0.9960967993754879,0.983089064261556
GPS benchmark,serotype_exact,ProkBERT,9L,9,11,2,3821,11,0.8181818181818182,0.9971294363256785,0.45,0.9966172261254228,0.5806451612903226
GPS benchmark,serotype_exact,ProkBERT,9N,111,0,16,3716,127,0.8740157480314961,1,1,0.9958365860005204,0.9327731092436975
GPS benchmark,serotype_exact,ProkBERT,9V,58,44,12,3729,70,0.8285714285714286,0.9883381924198251,0.5686274509803921,0.9854280510018215,0.6744186046511628
GPS benchmark,serogroup_exact,ALLCAPS,1,229,1,1,3612,230,0.9956521739130435,0.9997232216994187,0.9956521739130435,0.9994795732500651,0.9956521739130435
GPS benchmark,serogroup_exact,ALLCAPS,10,144,9,3,3687,147,0.9795918367346939,0.997564935064935,0.9411764705882353,0.9968774395003903,0.96
GPS benchmark,serogroup_exact,ALLCAPS,11,51,2,4,3786,55,0.9272727272727272,0.9994720168954594,0.9622641509433962,0.9984387197501952,0.9444444444444444
GPS benchmark,serogroup_exact,ALLCAPS,12,259,9,5,3570,264,0.9810606060606061,0.9974853310980721,0.9664179104477612,0.9963570127504554,0.9736842105263158
GPS benchmark,serogroup_exact,ALLCAPS,13,39,1,1,3802,40,0.975,0.9997370496976071,0.975,0.9994795732500651,0.975
GPS benchmark,serogroup_exact,ALLCAPS,14,308,7,12,3516,320,0.9625,0.9980130570536475,0.9777777777777777,0.995055945875618,0.9700787401574803
GPS benchmark,serogroup_exact,ALLCAPS,15,111,13,5,3714,116,0.9568965517241379,0.9965119398980413,0.8951612903225806,0.9953161592505855,0.925
GPS benchmark,serogroup_exact,ALLCAPS,16,78,2,2,3761,80,0.975,0.9994685091682168,0.975,0.9989591465001301,0.975
GPS benchmark,serogroup_exact,ALLCAPS,17,61,2,1,3779,62,0.9838709677419355,0.9994710394075641,0.9682539682539683,0.9992193598750976,0.976
GPS benchmark,serogroup_exact,ALLCAPS,18,48,10,0,3785,48,1,0.997364953886693,0.8275862068965517,0.9973978662503252,0.9056603773584906
GPS benchmark,serogroup_exact,ALLCAPS,19,347,17,22,3457,369,0.940379403794038,0.9951065054691998,0.9532967032967034,0.9898516783762685,0.946793997271487
GPS benchmark,serogroup_exact,ALLCAPS,2,1,0,0,3842,1,1,1,1,1,1
GPS benchmark,serogroup_exact,ALLCAPS,20,43,2,3,3795,46,0.9347826086956522,0.9994732683697656,0.9555555555555556,0.9986989331251627,0.945054945054945
GPS benchmark,serogroup_exact,ALLCAPS,21,39,0,5,3799,44,0.8863636363636364,1,1,0.9986989331251627,0.9397590361445783
GPS benchmark,serogroup_exact,ALLCAPS,22,227,3,7,3606,234,0.9700854700854701,0.999168744804655,0.9869565217391304,0.9973978662503252,0.978448275862069
GPS benchmark,serogroup_exact,ALLCAPS,23,122,5,16,3700,138,0.8840579710144928,0.9986504723346828,0.9606299212598425,0.994535519125683,0.9207547169811321
GPS benchmark,serogroup_exact,ALLCAPS,24,4,3,2,3834,6,0.6666666666666666,0.9992181391712275,0.5714285714285714,0.9986989331251627,0.6153846153846153
GPS benchmark,serogroup_exact,ALLCAPS,25,6,1,1,3835,7,0.8571428571428571,0.9997393117831074,0.8571428571428571,0.9994795732500651,0.8571428571428571
GPS benchmark,serogroup_exact,ALLCAPS,27,3,1,0,3839,3,1,0.9997395833333333,0.75,0.9997397866250325,0.8571428571428571
GPS benchmark,serogroup_exact,ALLCAPS,28,8,0,5,3830,13,0.6153846153846154,1,1,0.9986989331251627,0.761904761904762
GPS benchmark,serogroup_exact,ALLCAPS,29,4,0,1,3838,5,0.8,1,1,0.9997397866250325,0.888888888888889
GPS benchmark,serogroup_exact,ALLCAPS,3,5,1,0,3837,5,1,0.9997394476289734,0.8333333333333334,0.9997397866250325,0.9090909090909091
GPS benchmark,serogroup_exact,ALLCAPS,31,16,1,0,3826,16,1,0.9997386987196237,0.9411764705882353,0.9997397866250325,0.9696969696969697
GPS benchmark,serogroup_exact,ALLCAPS,33,89,3,2,3749,91,0.978021978021978,0.9992004264392325,0.967391304347826,0.9986989331251627,0.9726775956284153
GPS benchmark,serogroup_exact,ALLCAPS,34,51,4,1,3787,52,0.9807692307692307,0.9989448694275916,0.9272727272727272,0.9986989331251627,0.9532710280373831
GPS benchmark,serogroup_exact,ALLCAPS,35,68,2,5,3768,73,0.9315068493150684,0.9994694960212201,0.9714285714285714,0.9981785063752276,0.9510489510489512
GPS benchmark,serogroup_exact,ALLCAPS,37,3,0,1,3839,4,0.75,1,1,0.9997397866250325,0.8571428571428571
