fold,fold_safe_name,genogroup,n_id,n_novel,k,auroc,bal_acc,bal_acc_threshold
15A,15A,15,52809,46,20,0.9028241233584196,0.8584700648028539,0.03889387845993042
15A,15A,15,52809,46,50,0.9343849492057925,0.9253344909094052,0.18894600868225098
15A,15A,15,52809,46,100,0.9163745968860709,0.9082919413439903,0.21048271656036377
15A,15A,15,52809,46,200,0.9092113745433709,0.8932469514830723,0.2540290951728821
15A,15A,15,52809,46,500,0.8707157953148632,0.8455374866108956,0.26860904693603516
15A,15A,15,52809,46,1000,0.7396268916612534,0.7929803631956673,0.3162577152252197
15B,15B,15,53799,32,1,0.7090228210561534,0.7121429417833045,8.14199447631836e-05
15B,15B,15,53799,32,5,0.7125986310154465,0.7098639147567798,0.008418619632720947
15B,15B,15,53799,32,10,0.7381607929515418,0.7200168683432777,0.010032057762145996
15B,15B,15,53799,32,20,0.7788611893343742,0.7528395625383372,0.019301950931549072
15B,15B,15,53799,32,50,0.806791250766743,0.7677800121749475,0.19870507717132568
15B,15B,15,53799,32,100,0.826710010873808,0.8176476328556292,0.2848770022392273
15B,15B,15,53799,32,200,0.8085332673469767,0.8297854049331772,0.3607284426689148
15B,15B,15,53799,32,500,0.7884939775832265,0.7953981486644733,0.3726627826690674
15B,15B,15,53799,32,1000,0.7606283922563617,0.8361772523652856,0.4715639352798462
15B/C,15B-C,15B/C,52909,67,1,0.8636691892556723,0.8544240843825628,0.0005172491073608398
15B/C,15B-C,15B/C,52909,67,5,0.9184847935190328,0.8674281073417242,0.010056793689727783
15B/C,15B-C,15B/C,52909,67,10,0.9091770635190863,0.8449366597619172,0.011391162872314453
15B/C,15B-C,15B/C,52909,67,20,0.8975836574371711,0.8355815377740943,0.011768639087677002
15B/C,15B-C,15B/C,52909,67,50,0.880530158371047,0.8324494351467445,0.08816277980804443
15B/C,15B-C,15B/C,52909,67,100,0.8584776508694314,0.8173604468161753,0.1501990556716919
15B/C,15B-C,15B/C,52909,67,200,0.8644307051561073,0.8210106172157602,0.2812061309814453
15B/C,15B-C,15B/C,52909,67,500,0.8923077725963164,0.8880465840673214,0.3118128180503845
15B/C,15B-C,15B/C,52909,67,1000,0.751278948958547,0.8018012058439963,0.33456116914749146
15C,15C,15,53935,23,1,0.6875401550175131,0.7213219616204691,2.777576446533203e-05
15C,15C,15,53935,23,5,0.6732088947646321,0.7213405024566608,0.0004773736000061035
15C,15C,15,53935,23,10,0.7061410473960201,0.724103087049226,0.00037229061126708984
15C,15C,15,53935,23,20,0.7359865538631444,0.7440622972096042,5.751848220825195e-05
15C,15C,15,53935,23,50,0.6978637732213896,0.6999814591638083,0.0009156465530395508
15C,15C,15,53935,23,100,0.6648820440062716,0.6932418652081209,0.0012239813804626465
15C,15C,15,53935,23,200,0.6115775430167554,0.643172337072402,0.28695148229599
15C,15C,15,53935,23,500,0.5184590146754748,0.6230833410586818,0.018772542476654053
15C,15C,15,53935,23,1000,0.6153945369023099,0.7679614350607212,0.2935042977333069
15F,15F,15,54089,9,1,0.9608649119455382,0.9751428201667622,0.017756760120391846
15F,15F,15,54089,9,5,0.907317363768768,0.9433526225295347,0.017758190631866455
15F,15F,15,54089,9,10,0.8716354321375676,0.9222762484054059,0.017762720584869385
15F,15F,15,54089,9,20,0.8666005205412479,0.9211669655567676,0.047038137912750244
15F,15F,15,54089,9,50,0.8184432653178609,0.885595962210431,0.050713300704956055
15F,15F,15,54089,9,100,0.8154872319489894,0.8494610734160365,0.057633936405181885
15F,15F,15,54089,9,200,0.7746738400290878,0.8042762853815009,0.06255489587783813
15F,15F,15,54089,9,500,0.6431437075930411,0.7014642533602027,0.06639289855957031
15F,15F,15,54089,9,1000,0.6691604988486055,0.7993492207287989,0.368751585483551
16F,16F,16F,52932,47,1,0.9875420250148322,0.9862937353585732,0.07029974460601807
16F,16F,16F,52932,47,5,0.9726441472077384,0.9675904934633115,0.07774895429611206
16F,16F,16F,52932,47,10,0.9612766922153032,0.9519855663870627,0.07774895429611206
16F,16F,16F,52932,47,20,0.9477290011592552,0.9324510692964558,0.07806915044784546
16F,16F,16F,52932,47,50,0.9227543648936974,0.9044245446988589,0.09126627445220947
16F,16F,16F,52932,47,100,0.9011730827669704,0.8741781908864203,0.1018911600112915
16F,16F,16F,52932,47,200,0.8994462586280912,0.8671139285892298,0.2503305673599243
16F,16F,16F,52932,47,500,0.9008137296989635,0.8947214089212816,0.35376960039138794
16F,16F,16F,52932,47,1000,0.8072018535222227,0.810862511676965,0.475568950176239
17A,17A,17A,54105,4,1,0.9993392477589872,0.9995656593660476,0.37553709745407104
17A,17A,17A,54105,4,5,0.9967609278255244,0.9978098142500693,0.3831084966659546
17A,17A,17A,54105,4,10,0.9987940116440255,0.9988355974494039,0.44726622104644775
17A,17A,17A,54105,4,20,0.9989187690601609,0.9991313187320949,0.48888182640075684
17A,17A,17A,54105,4,50,0.9962156917105629,0.997393956196285,0.5157082080841064
17A,17A,17A,54105,4,100,0.9899963034839664,0.9936512337122263,0.5332580804824829
17A,17A,17A,54105,4,200,0.9816930043434065,0.9892985860826171,0.5551686882972717
17A,17A,17A,54105,4,500,0.9557388411422234,0.9750115516126051,0.5608504414558411
17A,17A,17A,54105,4,1000,0.8417891137602809,0.9058589779133167,0.6154583096504211
17F,17F,17F,53433,50,1,0.7467972975502032,0.7909323826099977,0.004596412181854248
17F,17F,17F,53433,50,5,0.9877536353938576,0.9760073362903074,0.14029306173324585
17F,17F,17F,53433,50,10,0.9846431980236932,0.962813242752606,0.14041149616241455
17F,17F,17F,53433,50,20,0.9779059757078958,0.9520801751726461,0.15817373991012573
